age,bias-question,gender,newsOutlet,politics,url,id,country_US,language_en,ind_politics,bias_sum,id_count,ratio
42,1,1.0,2,0.0,https://www.foxnews.com/us/youtubers-find-body-missing-pennsylvania-man-missing-20-years,289,1,1,0,2,2,1.0
31,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-us-canada-60799659,73,1,1,0,4,4,1.0
40,1,1.0,0,1.0,https://www.bbc.co.uk/news/uk-wales-60637319,35,1,1,0,2,2,1.0
29,1,1.0,0,2.0,https://www.bbc.co.uk/news/uk-wales-60637319,35,1,1,0,2,2,1.0
44,1,1.0,2,2.0,https://www.foxnews.com/us/la-county-sheriff-helicopter-crash,221,1,1,0,3,3,1.0
25,1,1.0,2,1.0,https://www.foxnews.com/us/la-county-sheriff-helicopter-crash,221,0,1,0,3,3,1.0
27,1,1.0,2,2.0,https://www.foxnews.com/us/iowa-nightclub-shooting-dead-injured-cedar-rapids,220,1,1,0,3,3,1.0
28,1,1.0,2,1.0,https://www.foxnews.com/us/iowa-nightclub-shooting-dead-injured-cedar-rapids,220,1,1,0,3,3,1.0
63,1,0.0,2,0.0,https://www.foxnews.com/us/iowa-nightclub-shooting-dead-injured-cedar-rapids,220,0,1,0,3,3,1.0
53,1,0.0,2,2.0,https://www.foxnews.com/us/idaho-man-vicki-jensen-murder-true-crime-evil-lives-here,219,1,1,0,1,1,1.0
43,1,1.0,2,1.0,https://www.foxnews.com/us/houstonians-on-edge-following-3-deadly-road-rage-shootings-over-the-weekend,218,1,1,0,1,1,1.0
44,1,1.0,2,2.0,https://www.foxnews.com/us/houston-crime-democrats-bail,217,1,1,0,1,1,1.0
32,1,1.0,0,0.0,https://www.bbc.co.uk/news/world-africa-61035711,38,1,1,0,3,3,1.0
38,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-africa-61035711,38,1,1,0,3,3,1.0
30,1,1.0,0,1.0,https://www.bbc.co.uk/news/world-africa-61035711,38,1,1,0,3,3,1.0
42,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-asia-60820215,39,1,1,0,2,2,1.0
38,1,0.0,0,0.0,https://www.bbc.co.uk/news/world-asia-60820215,39,1,1,0,2,2,1.0
